Period	Decade	AxisYear	Year	Observed_22_24	Trend_22_24	Observed_24_26	Trend_24_26	Observed_26_28	Trend_26_28	Observed_28_30	Trend_28_30	Observed_30_32	Trend_30_32	Observed_32_34	Trend_32_34	Observed_34_36	Trend_34_36	Observed_36_38	Trend_36_38	Observed_38_40	Trend_38_40	Observed_40_42	Trend_40_42	Observed_42_44	Trend_42_44	Observed_44_46	Trend_44_46	Observed_46_48	Trend_46_48	Observed_Bight	Trend_Bight
100	50	1954.25	1954	19.62	23.0416	17.26	20.8092	15.74	18.7499	15.8	17.5482	15.05	16.8208	13.73	15.0171	12.99	14.1022	12.78	13.4573	11.65	13.0143	10.72	12.0762	10.29	12.0727	10	12.3565	9.11	11.9134	15.22	16.6402
101	50	1954.3333	1954	19.82	23.0397	17.58	20.8119	16.75	18.7619	16.46	17.5599	16.06	16.8391	14.03	15.0175	13.13	14.0985	12.56	13.4489	11.83	13.0133	10.78	12.07	10.59	12.0678	10.77	12.3568	10.58	11.9145	15.66	16.6462
102	50	1954.417	1954	19.83	23.0289	17.79	20.8067	17.22	18.7629	17.09	17.5642	17.07	16.851	14.61	15.0203	13.46	14.0948	12.76	13.4412	13.04	13.0173	12.88	12.0738	13.07	12.0706	13.55	12.3632	13.26	11.9219	16.99	16.6592
103	50	1954.5	1954	23.35	23.0256	20.97	20.8061	19.19	18.7661	18.75	17.5713	18.61	16.8592	16.06	15.0272	15.54	14.1056	14.42	13.4517	13.23	13.0141	12.08	12.0607	12.93	12.0663	14.95	12.369	14.33	11.9254	19.35	16.6776
104	50	1954.5833	1954	26.68	23.0345	23.87	20.8146	21.23	18.7729	20.79	17.5864	19.64	16.8602	17.32	15.0326	15.66	14.098	14.96	13.4493	13.83	13.0131	13.68	12.0611	13.98	12.0688	15.91	12.3757	15.47	11.9309	20.14	16.6792
105	50	1954.667	1954	27.68	23.0389	25.16	20.8174	21.55	18.7676	20.22	17.5753	19.56	16.8558	16.78	15.0194	15.88	14.0908	15.78	13.4521	15.45	13.0219	14.41	12.0606	15.53	12.0772	16.69	12.3857	16.73	11.9454	19.48	16.676
106	50	1954.75	1954	25.38	23.0264	23.24	20.8075	20.43	18.7663	18.74	17.5681	18.29	16.8498	16.41	15.0231	15.34	14.0911	14.85	13.4479	14.8	13.0227	13.7	12.0559	13.26	12.0719	14.46	12.3828	13.47	11.941	18.05	16.6696
107	50	1954.8333	1954	24.5	23.0331	22.09	20.813	19.85	18.7817	18.23	17.5822	17.93	16.8636	17.32	15.056	15.31	14.0992	14.58	13.4613	14.15	13.0267	13.71	12.0534	13.53	12.0745	13.17	12.3847	12.79	11.9477	17.11	16.6837
108	50	1954.917	1954	23.86	23.042	21.84	20.8265	19.07	18.7923	17.49	17.5977	16.49	16.8657	15.45	15.0476	14.02	14.0953	13.85	13.4602	12.78	13.0232	12.6	12.0413	12.2	12.0701	12.09	12.3839	11.01	11.9474	16.34	16.6968
109	50	1955	1955	20.73	23.0279	18.38	20.81	17.1	18.7942	15.87	17.5983	14.83	16.8604	13.69	15.029	12.86	14.0905	12.27	13.4475	11.64	13.0221	10.85	12.0233	10.53	12.061	9.94	12.3767	9.41	11.9431	14.13	16.6863
110	50	1955.0833	1955	19.64	23.0254	17.74	20.8159	16.04	18.7974	15.09	17.6006	14.52	16.8652	12.83	15.0135	12.48	14.0892	11.57	13.4393	11.46	13.0248	10.17	12.0098	9.82	12.0534	10.44	12.377	9.28	11.9417	13.95	16.6892
111	50	1955.167	1955	18.99	23.0286	17.39	20.8262	15.97	18.8126	15.52	17.6176	15.02	16.8802	13.4	15.0201	12.34	14.0895	11.5	13.4398	10.97	13.0255	9.92	11.9991	9.38	12.0461	8.88	12.3674	8.74	11.9369	14.77	16.7065
112	50	1955.25	1955	18.78	23.0331	17.07	20.8329	16.18	18.8264	15.65	17.6249	15.19	16.8814	13.34	15.0196	11.87	14.0885	11.52	13.4417	10.84	13.0296	9.89	11.9903	9.47	12.0417	9.23	12.364	8.94	11.9321	15.16	16.7116
113	50	1955.3333	1955	18.5	23.0321	16.66	20.8344	16.18	18.8328	16.12	17.6356	15.93	16.8907	14.3	15.0262	13.15	14.0989	11.76	13.4413	10.99	13.0324	9.62	11.9816	10.34	12.0395	9.75	12.3607	9.6	11.927	15.91	16.7199
114	50	1955.417	1955	18.65	23.0283	17.25	20.8389	16.77	18.841	16.69	17.641	16.15	16.8862	14.49	15.018	13.28	14.0952	12.83	13.4483	11.68	13.0392	11.52	11.9876	11.59	12.0412	12.48	12.3664	11.66	11.9321	17.23	16.7306
115	50	1955.5	1955	22.09	23.0319	19.12	20.8322	17.55	18.8377	17.38	17.6377	17.01	16.8838	14.67	15.0019	13.76	14.0919	12.92	13.4432	13.03	13.0526	11.93	11.9875	14.42	12.0508	15.57	12.3797	14.63	11.9488	18.29	16.7279
116	50	1955.5833	1955	25.62	23.0535	22.89	20.8593	20.52	18.8661	19.69	17.6625	19.24	16.9105	16.19	15.0098	14.17	14.0929	13.42	13.4473	12.62	13.0541	11.9	11.9864	14.3	12.0505	15.78	12.3832	16.83	11.963	19.93	16.7405
117	50	1955.667	1955	27.48	23.075	25.36	20.8842	22.57	18.8923	21.15	17.6866	19.81	16.9253	15.78	15.0036	15.38	14.1053	14.47	13.4654	14.46	13.0762	11.9	11.9946	12.39	12.0478	14.45	12.3846	16.1	11.9676	18.74	16.7305
118	50	1955.75	1955	24.18	23.0634	21.19	20.8608	19.46	18.8773	18.28	17.667	17.61	16.9098	15.64	15.0166	14.69	14.1134	14.21	13.4849	14.71	13.0971	12.54	12.0175	12.52	12.0563	14.11	12.3923	13.24	11.9652	17.62	16.7297
119	50	1955.8333	1955	24.18	23.0858	20.9	20.8856	18.89	18.9019	17.63	17.6847	17.04	16.928	15.24	15.0422	13.45	14.1211	12.94	13.5037	12.97	13.1081	11.85	12.037	11.52	12.0648	11.1	12.3917	10.53	11.9635	16.41	16.7421
120	50	1955.917	1955	22.23	23.0948	19.74	20.9042	17.3	18.9159	15.97	17.6957	15.58	16.9415	13.67	15.0572	13.07	14.1415	13.03	13.5351	13.2	13.1326	11.69	12.0612	10.81	12.0764	9.75	12.3977	9.11	11.9706	14.77	16.7468
121	50	1956	1956	20.74	23.108	18.66	20.9278	16.65	18.9485	15.37	17.7204	14.5	16.96	13.91	15.0936	13.28	14.1686	12.42	13.5593	12.18	13.1488	11.17	12.084	10.63	12.0896	10.38	12.413	8.89	11.9829	13.65	16.7583
122	50	1956.0833	1956	19.05	23.1147	17.03	20.9397	16.02	18.9736	14.69	17.7362	13.88	16.9758	13.56	15.1105	12.58	14.1802	11.61	13.5743	11.28	13.1615	10.11	12.1021	10.07	12.0997	9.24	12.4182	8.59	11.9913	13.54	16.7704
123	50	1956.167	1956	19.04	23.1352	17.01	20.9684	15.84	19.0035	14.8	17.7614	14.08	17.0037	12.81	15.1194	11.57	14.1881	11.39	13.5971	11.02	13.1796	10.08	12.1262	9.76	12.109	8.99	12.4265	7.61	11.9962	13.79	16.7879
124	50	1956.25	1956	17.77	23.1464	16.44	20.9897	15.75	19.0305	15.51	17.7906	14.78	17.0359	12.68	15.1394	11.94	14.2132	11.38	13.6246	11.19	13.2021	10.9	12.1559	9.49	12.1195	9.48	12.4373	9.79	12.0163	14.06	16.8019
125	50	1956.3333	1956	19.58	23.185	17.31	21.0226	16.81	19.0669	16.29	17.82	15.99	17.077	14.23	15.1783	13.41	14.2437	13.02	13.6668	11.72	13.2235	11.38	12.1814	11.93	12.1377	12.28	12.4555	12.47	12.0338	15.44	16.8308
126	50	1956.417	1956	20.33	23.2141	18.33	21.0515	17.44	19.0945	16.89	17.8413	16.41	17.1015	13.05	15.1826	12.98	14.2526	12.04	13.6723	12.45	13.2453	11.67	12.2047	12.61	12.1495	13.83	12.4649	12.65	12.0373	14.84	16.8291
127	50	1956.5	1956	27.18	23.2685	23.19	21.0936	20.15	19.1308	18.75	17.8677	18.12	17.1363	16.08	15.2371	14.44	14.2783	13.68	13.7123	13.64	13.2716	12.91	12.2347	13.86	12.1637	15.05	12.4767	15.25	12.0565	18.41	16.8799
128	50	1956.5833	1956	28.98	23.2827	26.25	21.1265	22.63	19.1675	19.8	17.8876	19.54	17.1689	16.27	15.2621	15.24	14.3017	14.91	13.7513	15.27	13.3004	13.99	12.2637	14.56	12.1773	15.4	12.488	16.02	12.0685	19.65	16.9064
129	50	1956.667	1956	29.2	23.2906	27.69	21.1507	24.76	19.2058	21.05	17.9219	19.27	17.1915	17.78	15.3102	16.58	14.3318	16.18	13.7939	15.77	13.3214	14.93	12.294	12.63	12.1861	15.04	12.5016	15.81	12.0822	19.04	16.9241
130	50	1956.75	1956	28.03	23.2988	26	21.16	22.22	19.2056	20.12	17.9419	19.05	17.2306	17.21	15.3395	15.81	14.3528	15.7	13.8279	15.92	13.3469	13.51	12.3139	12.78	12.206	14.4	12.516	13.85	12.0921	18.37	16.9483
131	50	1956.8333	1956	26	23.3011	23.86	21.1695	20.82	19.2267	18.62	17.9606	17.53	17.2562	14.85	15.3561	14.32	14.3704	13.5	13.8488	13.89	13.3593	12.65	12.3368	12.56	12.2274	12.43	12.5266	11.86	12.1008	15.9	16.9614
132	50	1956.917	1956	23.73	23.3021	22.69	21.1871	20.52	19.2589	18.22	17.9978	16.84	17.3013	14.36	15.4036	13.79	14.3991	12.92	13.8857	13.15	13.3792	11.02	12.3576	10.15	12.2425	10.42	12.5349	9.66	12.108	15.74	17.0067
133	50	1957	1957	22.16	23.3134	20.94	21.2016	19.05	19.2813	17.18	18.0235	16.13	17.3435	14.49	15.4586	12.95	14.4257	12.75	13.9306	11.84	13.3963	11.43	12.3922	10.47	12.2673	9	12.5461	8.57	12.1188	15.63	17.0513
134	50	1957.0833	1957	21.36	23.3258	19.59	21.212	18.14	19.299	16.48	18.0425	15.73	17.3757	13.3	15.4845	12.43	14.4507	12.21	13.965	11.17	13.415	9.84	12.416	9.65	12.2887	8.48	12.5606	7.32	12.1271	15.08	17.0725
135	50	1957.167	1957	20.11	23.331	18.39	21.222	17.2	19.3135	15.89	18.0594	15.41	17.4024	13.7	15.5315	12.85	14.4862	12.88	14.0141	11.29	13.4413	10.82	12.4547	10.38	12.3148	9.62	12.583	8.7	12.1502	15.22	17.1012
136	50	1957.25	1957	19.63	23.3405	17.55	21.2324	16.63	19.3271	16.2	18.083	15.72	17.4324	13.99	15.5804	13.45	14.5249	12.63	14.0513	11.84	13.472	10.78	12.4893	10.89	12.34	9.93	12.601	9.16	12.1679	16.1	17.1346
137	50	1957.3333	1957	19.55	23.3533	17.83	21.2512	17.17	19.3495	16.99	18.1124	16.64	17.4724	15.7	15.6418	14.45	14.5596	14.21	14.1035	12.75	13.5006	12.48	12.5313	12.56	12.3653	12.56	12.6257	12.24	12.1942	17.2	17.1679
138	50	1957.417	1957	21.24	23.3773	18.75	21.2704	18.23	19.3745	18.06	18.14	17.66	17.5107	15.52	15.6728	15.02	14.5848	14.86	14.1365	13.17	13.5235	13.44	12.5655	13.23	12.3854	15.47	12.6476	14.87	12.2175	17.73	17.1869
139	50	1957.5	1957	25.27	23.3963	22.96	21.2976	20.45	19.3969	20.01	18.1661	19.59	17.5505	17.43	15.7203	16.01	14.6094	14.85	14.1579	14.87	13.5549	13.19	12.5907	15.07	12.4086	16.37	12.6632	15.76	12.2327	20.08	17.2207
140	50	1957.5833	1957	28.31	23.4163	26.05	21.322	23.52	19.4305	21.79	18.1913	20.99	17.579	18.11	15.7534	16.2	14.6266	15.84	14.1925	15.57	13.5778	14.73	12.6247	14.09	12.4234	17.65	12.6809	17.03	12.2503	20.61	17.2343
141	50	1957.667	1957	29.18	23.4279	26.34	21.3265	22.77	19.4262	20.91	18.1903	19.97	17.5828	19.21	15.7943	17.55	14.6567	17.39	14.2372	17.52	13.6089	15.89	12.659	14.94	12.4482	16.98	12.6926	17.42	12.2688	20.37	17.2535
142	50	1957.75	1957	26.76	23.4225	24.37	21.3269	22.09	19.441	20.35	18.2088	19.61	17.6118	18.09	15.8115	17.17	14.68	17.26	14.2725	16.49	13.6235	16.1	12.6866	15.4	12.4718	15.18	12.6985	14.67	12.2738	18.73	17.2595
143	50	1957.8333	1957	25.67	23.4355	23.48	21.3471	21.49	19.4681	19.49	18.2315	18.43	17.6364	16.09	15.8285	15.69	14.6952	15.61	14.2936	14.75	13.6341	12.69	12.6893	12.55	12.4821	12.78	12.7028	13.16	12.2832	17.51	17.2854
144	50	1957.917	1957	24.71	23.4544	23.23	21.373	21.43	19.4978	19.01	18.2615	17.5	17.6691	16.16	15.8756	15.55	14.722	14.69	14.3153	13.73	13.648	12.1	12.7083	11.36	12.4987	11.57	12.7101	10.83	12.2858	16.95	17.3183
145	50	1958	1958	23.58	23.4735	21.93	21.3898	20.08	19.5148	18.16	18.2827	17	17.705	15.45	15.9099	14.32	14.7376	14.05	14.3397	13.57	13.6683	12.53	12.7355	12.4	12.5224	11.6	12.7211	8.98	12.288	16.92	17.3551
146	50	1958.0833	1958	22.99	23.488	21.31	21.4043	19.42	19.5274	17.64	18.2959	16.84	17.7305	15.71	15.9404	15.09	14.7643	14.08	14.3633	12.76	13.6783	12.4	12.7554	11.96	12.5372	10.7	12.7239	10.27	12.3029	16.7	17.37
147	50	1958.167	1958	21.96	23.4931	19.89	21.4071	18.11	19.5286	17.09	18.3038	16.39	17.7421	15.29	15.9557	14.17	14.7713	13.6	14.377	12.47	13.6905	11.94	12.7683	11.7	12.5474	10.92	12.7288	10.1	12.3078	15.9	17.372
148	50	1958.25	1958	21.67	23.5005	19.74	21.4176	18.22	19.5397	17.49	18.3172	17.02	17.7617	15.01	15.9674	13.94	14.783	13.25	14.3901	12.12	13.7026	11.84	12.781	11.7	12.5558	11.08	12.7305	10.2	12.3103	16.69	17.3896
149	50	1958.3333	1958	21.87	23.5094	19.54	21.4225	18.38	19.5452	17.93	18.328	17.54	17.7761	15.21	15.9819	14.39	14.7956	14.35	14.4148	14.26	13.7281	13.75	12.8005	13.7	12.5661	13.24	12.7363	12.82	12.3195	16.98	17.397
150	50	1958.417	1958	23.43	23.52	20.31	21.4285	18.53	19.5453	18.12	18.3286	17.99	17.7823	17.07	16.0123	16.92	14.8227	17.07	14.4512	16.97	13.752	15.11	12.8095	15.39	12.5705	16.63	12.7418	15.66	12.3281	18.23	17.4115
151	50	1958.5	1958	26.32	23.5111	23.36	21.4303	20.59	19.5505	19.21	18.328	18.54	17.7777	16.79	16.0056	16.08	14.8109	16.27	14.4365	14.93	13.7344	13.93	12.7973	14.44	12.5619	16.09	12.7315	15.9	12.3235	18.77	17.4064
152	50	1958.5833	1958	27.99	23.5013	25.42	21.4313	22.63	19.5591	20.95	18.3407	20.43	17.7984	18.9	16.0297	17.85	14.8222	17.1	14.4372	15.44	13.7325	13.88	12.788	13.93	12.5564	16.14	12.7246	17.15	12.3237	21.21	17.4354
153	50	1958.667	1958	28.89	23.5021	26.55	21.4349	23.41	19.5623	21.71	18.3527	21.02	17.8173	19.05	16.0332	17.43	14.8124	16.95	14.4268	16.14	13.7331	13.97	12.7852	15.13	12.5614	14.86	12.7169	15.07	12.3131	20.83	17.4427
154	50	1958.75	1958	28.1	23.5031	26.63	21.446	24.66	19.5873	22.06	18.3727	20.94	17.836	18.46	16.0317	16.8	14.8096	16.16	14.4221	15.48	13.7323	13.44	12.7866	13.19	12.5579	13.73	12.7126	13.95	12.3129	21.21	17.4648
155	50	1958.8333	1958	26.15	23.4982	24.29	21.4383	21.94	19.5735	20.67	18.3741	19.22	17.8322	16.42	16.0232	15.34	14.8045	15.71	14.43	15.64	13.7406	13.86	12.7958	13.71	12.5636	12.63	12.7118	11.91	12.3097	18.64	17.4551
156	50	1958.917	1958	25.18	23.5016	23.5	21.4429	21.5	19.5803	19.47	18.3773	18.28	17.8416	16.35	16.0416	15.93	14.8187	14.94	14.4267	14.3	13.7349	13.13	12.7976	12.11	12.5619	11.93	12.7109	10.95	12.3107	17.39	17.4583
157	50	1959	1959	23.22	23.4976	21.62	21.4385	19.45	19.5718	18.05	18.3734	17.14	17.842	15.56	16.0466	14.55	14.812	14.25	14.4221	13.09	13.729	12.2	12.7964	11.68	12.5613	11.31	12.7084	9.79	12.3074	16.24	17.4594
158	50	1959.0833	1959	22.13	23.4953	20.78	21.4372	18.79	19.5691	17.47	18.3697	16.47	17.8354	14.83	16.0378	14.21	14.8066	13.75	14.4102	12.85	13.7251	11.69	12.7938	11.32	12.5582	11.25	12.7038	9.25	12.3027	15.9	17.4549
159	50	1959.167	1959	22.41	23.5019	20.25	21.4359	18.38	19.5662	17.35	18.3676	16.93	17.8392	15.47	16.0445	14.38	14.805	13.55	14.3996	12.26	13.7176	11.53	12.7909	11.26	12.5528	10.83	12.6947	9.78	12.302	15.99	17.4539
160	50	1959.25	1959	21.65	23.492	19.34	21.4248	17.62	19.5523	17.47	18.3611	16.89	17.8248	15.15	16.0339	13.9	14.7948	12.97	14.3818	11.95	13.7122	11.29	12.7867	11.04	12.545	11.27	12.6856	10.11	12.2977	16.78	17.4563
161	50	1959.3333	1959	20.6	23.4741	18.77	21.4122	17.87	19.5445	17.53	18.3506	17.22	17.8125	15.32	16.022	13.86	14.7812	13.08	14.3663	12.48	13.7086	12.25	12.7868	12.04	12.5384	12.33	12.6747	12.02	12.2951	17.2	17.4498
162	50	1959.417	1959	22.16	23.4731	19.65	21.4071	18.43	19.5372	17.86	18.3389	17.6	17.7979	15.36	16.0054	14.05	14.7669	13.93	14.3562	14.06	13.7117	13.02	12.7839	14.15	12.5346	14.19	12.6637	14.57	12.296	18.84	17.4542
163	50	1959.5	1959	25.89	23.4644	23.41	21.4054	21.72	19.5437	20.58	18.346	19.87	17.8018	17.45	16.0114	16.17	14.7708	15.73	14.3581	15.74	13.7127	13.49	12.7785	14.76	12.5242	16.04	12.6563	16.23	12.2937	20.32	17.445
164	50	1959.5833	1959	27.5	23.4468	25.7	21.3975	22.72	19.5255	21.68	18.3331	21.04	17.7866	18.59	16.0051	16.71	14.7587	16.21	14.3426	14.94	13.6934	13.98	12.7727	14.12	12.5108	15.67	12.6414	17.11	12.2879	21.16	17.4311
165	50	1959.667	1959	28.32	23.4378	26.69	21.387	23.46	19.5116	21.6	18.3142	20.84	17.7634	18.72	15.9888	17.41	14.7493	17.31	14.3361	16.29	13.69	15.13	12.7751	14.73	12.5055	14.35	12.6275	16.03	12.2767	20.62	17.4148
166	50	1959.75	1959	27.3	23.4285	25.88	21.3758	23.23	19.5037	20.98	18.3021	20.05	17.744	18.46	15.9752	17.03	14.7386	16.39	14.3169	15.35	13.6781	14.7	12.7719	14.13	12.4975	13.87	12.6205	14.46	12.2667	20.23	17.4067
167	50	1959.8333	1959	25.99	23.4219	24.02	21.3609	21.67	19.4898	19.86	18.2907	19.19	17.7308	17.13	15.9582	15.94	14.7253	15.09	14.2996	14.48	13.6704	14.12	12.7657	12.46	12.4863	12.74	12.6137	11.39	12.2501	18.81	17.3956
168	50	1959.917	1959	24.83	23.4137	22.91	21.3504	21.08	19.4825	19.15	18.2852	18.13	17.715	16.3	15.9438	15.58	14.7162	14.28	14.2821	14.07	13.6645	12.4	12.7515	11.62	12.4787	11.18	12.603	10.36	12.2431	17.92	17.3856
169	60	1960	1960	21.83	23.3871	20.44	21.3268	18.83	19.4575	16.94	18.2553	16.43	17.6809	14.58	15.9134	13.53	14.689	12.54	14.2531	12.36	13.6492	11.78	12.7438	11.14	12.4715	10.2	12.5937	9.81	12.2367	15.31	17.346
170	60	1960.0833	1960	20.12	23.3672	18.22	21.3	17.04	19.4289	16.2	18.2355	15.29	17.6432	14.46	15.892	13.3	14.6731	12.77	14.2425	12.48	13.6428	11.75	12.7368	10.61	12.4621	9.78	12.5842	9.54	12.2269	14.72	17.3193
171	60	1960.167	1960	20.24	23.3651	18.12	21.295	16.82	19.4179	15.99	18.2206	15.66	17.6263	14.37	15.8716	13.27	14.6599	12.67	14.2292	12.04	13.6322	11.14	12.725	10.47	12.4525	9.96	12.5763	9.41	12.2157	15.19	17.3074
172	60	1960.25	1960	19.7	23.3542	17.86	21.2857	16.8	19.4053	16.32	18.2077	15.96	17.602	14.31	15.8485	12.74	14.6417	12.91	14.2188	11.82	13.6237	11.95	12.7199	11.09	12.4444	10.7	12.5685	9.99	12.2057	15.7	17.2916
173	60	1960.3333	1960	19.31	23.3396	17.86	21.275	17.51	19.3963	17	18.1979	16.43	17.5794	14.03	15.8216	12.65	14.623	13.36	14.2048	12.99	13.6203	12.18	12.7074	11.41	12.4322	11.46	12.5571	11.72	12.1953	16.8	17.2807
174	60	1960.417	1960	19.72	23.3265	18.52	21.2636	17.93	19.3802	17.38	18.1796	17	17.5559	15.76	15.8182	14.42	14.6207	13.91	14.1856	12.98	13.6068	11.75	12.6892	12.36	12.4222	13.76	12.5497	13.57	12.186	17.04	17.2527
175	60	1960.5	1960	23.97	23.3234	22.32	21.2582	20.74	19.3738	19.58	18.1722	19.04	17.5451	16.55	15.7965	15.12	14.6064	14.62	14.1684	14.47	13.6027	12.65	12.6813	13.24	12.4148	14.99	12.5424	14.76	12.1759	19.2	17.2428
176	60	1960.5833	1960	25.96	23.3166	23.35	21.235	21.71	19.3502	20.52	18.1519	20.1	17.5197	17.06	15.7714	16	14.5933	15.33	14.1522	14.56	13.5885	14.24	12.6783	14.59	12.4128	15.67	12.5359	15.25	12.1661	20.18	17.2232
177	60	1960.667	1960	28.2	23.3284	26.04	21.2418	23.64	19.3455	22.02	18.1502	21.02	17.5072	17.91	15.7601	15.95	14.5745	15.98	14.1397	14.91	13.5781	13.11	12.6656	14.03	12.4079	15.1	12.5287	14.74	12.1582	20.26	17.2084
178	60	1960.75	1960	27.14	23.3228	24.63	21.2246	22.16	19.3175	20.22	18.1169	19.29	17.4635	17.42	15.7416	15.4	14.5623	15.31	14.1255	14.79	13.5739	13.31	12.6677	13.17	12.4041	13.33	12.519	13.12	12.1513	18.52	17.1744
179	60	1960.8333	1960	25.08	23.3111	22.4	21.2064	20.3	19.2942	18.6	18.0931	17.89	17.4323	15.63	15.7188	14.94	14.5588	13.97	14.1126	13.86	13.5688	13.03	12.671	12.88	12.4042	12.3	12.5154	12.05	12.1499	17.24	17.1605
180	60	1960.917	1960	23.95	23.3087	21.29	21.1998	18.41	19.2703	17.09	18.075	16.27	17.4041	14.91	15.7142	14.31	14.5539	13.71	14.1103	13.4	13.567	12.27	12.6727	11.51	12.4012	11.19	12.5104	10.33	12.1436	16.22	17.1484
181	60	1961	1961	22.39	23.3037	20.83	21.2026	18.7	19.2767	17.14	18.0767	16.19	17.3992	15.12	15.7215	13.99	14.552	13.19	14.1054	12.99	13.5664	11.9	12.6777	11.17	12.4005	10.51	12.5061	9.91	12.1411	15.74	17.1412
182	60	1961.0833	1961	21.09	23.2928	19.41	21.1885	17.66	19.2593	16.65	18.0613	16.02	17.3798	14.58	15.7033	13.86	14.544	13.36	14.1003	13.04	13.5636	12.11	12.6821	11.3	12.3988	10.83	12.5022	9.95	12.1359	15.85	17.1251
183	60	1961.167	1961	20.13	23.2823	18.06	21.1722	16.63	19.2385	16	18.039	15.63	17.3482	14.17	15.6837	13.34	14.5306	12.7	14.0837	12.59	13.5553	11.89	12.6803	11.04	12.3926	10.01	12.4912	9.74	12.1263	15.34	17.0965
184	60	1961.25	1961	19.74	23.2739	17.57	21.161	16.46	19.2222	16.16	18.0213	15.73	17.3146	14.31	15.6668	12.77	14.5165	12.68	14.0731	12.03	13.5454	10.99	12.6725	10.6	12.3837	10.33	12.4824	9.62	12.1141	15.3	17.0685
185	60	1961.3333	1961	19.66	23.2658	17.19	21.1479	15.93	19.1978	15.82	17.9954	15.05	17.269	13.27	15.6343	13.57	14.5105	12.99	14.0617	12.84	13.54	12.2	12.6742	11.9	12.3782	11.66	12.4745	11.87	12.1082	15.21	17.0376
186	60	1961.417	1961	20.33	23.2582	17.68	21.137	16.66	19.1866	16.4	17.9798	16.18	17.2538	15.19	15.6409	14.3	14.5	14.43	14.0582	13.57	13.5327	13.21	12.6737	13.13	12.3725	14.11	12.4688	14.13	12.1034	16.44	17.0232
187	60	1961.5	1961	24.18	23.2553	21.64	21.138	20.03	19.1906	19.45	17.9855	18.57	17.2514	16.96	15.6419	15.21	14.4896	15	14.0424	14.48	13.5242	15.23	12.6759	15.4	12.37	15.74	12.4632	16.52	12.0996	19.08	17.0212
188	60	1961.5833	1961	27.52	23.2613	24.43	21.1367	21.3	19.1742	19.95	17.9598	19.55	17.2257	16.97	15.6185	16.38	14.4811	15.78	14.028	15.58	13.5164	15.29	12.6602	15.55	12.3594	16.26	12.4546	15.94	12.082	19.96	17.0002
189	60	1961.667	1961	28.17	23.2568	25.16	21.1265	22.62	19.1667	20.63	17.9487	19.95	17.2072	18.45	15.6211	16.32	14.4633	15.97	14.0096	15.57	13.5002	13.77	12.6359	13.32	12.3418	14.25	12.4389	14.95	12.0669	19.56	16.9788
190	60	1961.75	1961	27.23	23.246	24.55	21.1193	21.68	19.1493	19.69	17.9303	18.61	17.1742	17.5	15.6002	15.92	14.4516	15.13	13.9924	13.38	13.4762	12.79	12.6204	13.67	12.3353	12.29	12.4269	13.72	12.0562	18.77	16.9587
191	60	1961.8333	1961	24.35	23.2222	21.5	21.0957	19.14	19.1237	18.11	17.9118	17.11	17.1483	15.52	15.5762	14.63	14.4378	13.94	13.9805	12.43	13.469	11.82	12.6109	11.54	12.323	11.05	12.4228	10.55	12.0381	16.23	16.9268
192	60	1961.917	1961	22.59	23.2123	20.14	21.0903	17.93	19.1144	16.48	17.8965	15.71	17.1309	14.71	15.5711	13.65	14.4272	13.11	13.9706	13.11	13.4763	12.1	12.6125	10.55	12.3167	10.3	12.4215	9.14	12.0291	15.06	16.9134
193	60	1962	1962	21.65	23.2146	19.92	21.1007	17.67	19.1217	16.27	17.8996	15.05	17.1245	14.1	15.5702	12.82	14.4193	12.52	13.9646	12.05	13.4724	10.89	12.6088	9.87	12.3132	9.41	12.4199	9.02	12.0266	14.22	16.9038
194	60	1962.0833	1962	20.81	23.2098	18.9	21.0968	17.14	19.1182	16.05	17.8941	14.99	17.1167	14.22	15.5652	12.62	14.4123	12.16	13.9549	11.49	13.468	11.02	12.6107	10.08	12.3125	9.29	12.4197	8.5	12.0183	14.24	16.8918
195	60	1962.167	1962	18.74	23.1916	17.13	21.0828	15.87	19.1038	15.25	17.8769	14.49	17.0976	13.36	15.5472	12.32	14.4058	12.04	13.9499	11.71	13.4705	10.89	12.6117	9.73	12.3102	9.59	12.4207	8.68	12.0128	14.04	16.8758
196	60	1962.25	1962	19.34	23.1949	17.28	21.0855	16.09	19.1018	15.58	17.8698	15.13	17.0908	13.43	15.5411	12.49	14.4054	12.27	13.9491	12.12	13.4753	11.33	12.6158	10.78	12.3124	9.61	12.4191	9.12	12.0072	14.57	16.8668
197	60	1962.3333	1962	19.01	23.1888	17.07	21.0816	15.99	19.0927	15.87	17.8612	15.59	17.0818	14.44	15.5471	13.24	14.4053	12.82	13.9474	12.64	13.475	11.9	12.6175	11.74	12.3112	11.25	12.4214	10.91	12.003	15.26	16.858
198	60	1962.417	1962	19.71	23.1853	17.35	21.0749	16.42	19.0866	16.2	17.8497	15.82	17.0657	14.39	15.5341	13.55	14.3968	12.99	13.9348	12.62	13.4694	11.41	12.6119	11.53	12.3056	13.1	12.4229	12.16	11.9985	15.87	16.8452
199	60	1962.5	1962	23.57	23.1872	20.38	21.0741	18.41	19.0838	17.67	17.842	17.21	17.0612	15.51	15.5348	14.36	14.3923	13.53	13.929	13.3	13.468	12.12	12.6171	12.87	12.3087	13.57	12.4241	14.32	12.0027	18.44	16.8528
