Time	Year	Month	SST	NAO
1995.83	1995.00	11.00	0.64	-2.73
1995.92	1995.00	12.00	0.56	-3.33
1996.00	1996.00	1.00	0.43	-3.27
1996.08	1996.00	2.00	-0.09	-0.12
1996.17	1996.00	3.00	-0.11	-2.57
1996.25	1996.00	4.00	0.18	-0.31
1996.33	1996.00	5.00	-0.40	-1.50
1996.42	1996.00	6.00	-0.35	1.43
1996.50	1996.00	7.00	-0.76	1.47
1996.58	1996.00	8.00	0.37	-0.19
1996.67	1996.00	9.00	0.40	-2.23
1996.75	1996.00	10.00	0.40	-0.07
1996.83	1996.00	11.00	0.68	-0.05
1996.92	1996.00	12.00	0.23	-4.70
1997.00	1997.00	1.00	-0.07	-1.95
1997.08	1997.00	2.00	0.78	5.26
1997.17	1997.00	3.00	1.42	2.09
1997.25	1997.00	4.00	1.36	-0.97
1997.33	1997.00	5.00	0.48	-1.35
1997.42	1997.00	6.00	0.63	-4.05
1997.50	1997.00	7.00	1.12	1.18
1997.58	1997.00	8.00	2.06	1.78
1997.67	1997.00	9.00	1.28	-0.67
1997.75	1997.00	10.00	0.68	-2.26
1997.83	1997.00	11.00	0.61	-0.99
1997.92	1997.00	12.00	0.82	-0.20
1998.00	1998.00	1.00	1.48	-0.28
1998.08	1998.00	2.00	1.19	2.44
1998.17	1998.00	3.00	1.25	1.24
1998.25	1998.00	4.00	0.73	-0.39
1998.33	1998.00	5.00	0.86	-1.26
1998.42	1998.00	6.00	0.10	-0.85
1998.50	1998.00	7.00	-0.15	-0.57
1998.58	1998.00	8.00	-0.21	1.80
1998.67	1998.00	9.00	0.24	-3.48
1998.75	1998.00	10.00	0.00	1.34
1998.83	1998.00	11.00	-0.09	1.13
1998.92	1998.00	12.00	0.00	1.95
1999.00	1999.00	1.00	0.76	0.90
1999.08	1999.00	2.00	0.57	1.80
1999.17	1999.00	3.00	0.40	-0.72
1999.25	1999.00	4.00	0.89	0.43
1999.33	1999.00	5.00	1.15	1.03
1999.42	1999.00	6.00	0.76	1.39
1999.50	1999.00	7.00	1.21	-1.85
1999.58	1999.00	8.00	0.92	-3.67
1999.67	1999.00	9.00	1.25	-0.51
1999.75	1999.00	10.00	0.63	-0.69
1999.83	1999.00	11.00	0.52	0.30
1999.92	1999.00	12.00	0.28	2.13
